Scholar,Title,Link,Full Content
Shaykh ibn uthaymeen,The Echoes of Jahiliyyah: A Warning Against Mistreating Daughters,https://alsalafiyyah.github.io/audios/the-echoes-of-jahiliyyah-a-warning-against-mistreating-daughters/,"Question:

May Allah reward you with goodness. The female questioner, who symbolized her name with H. M., wrote this question in her own words. She mentions that she is a young woman suffering from her father’s harsh treatment, his injustice, oppression, and tyranny—to the extent that she says she sometimes doubts his actual paternity based on what she sees from him and the hurtful things she hears him say.

She says: I will not hide from you that I hate him very much, but at the same time, I pray for his guidance. I frequently fall into insulting him and talking about him behind his back, and I catch myself doing this by seeking forgiveness for him and praying for him. I do not like to confront him, rather I evade him, and he likewise does not ask about me or care about my affairs. However, I try as much as possible to obey him if he commands me. I have tried repeatedly to advise him, but I have not found the full courage to do so, and he also does not give anyone the courage to confront him, nor does he respond to his family or others. Instead, he does whatever his bad companions dictate to him without thinking whether what he is doing is right or wrong, and without considering the consequences of matters. I inform you that he is well-educated, and he frequently repeats certain Hadiths, yet strangely enough, those Hadiths contradict his actions.

My question, Your Eminence Sheikh Muhammad: Is there any sin upon me for not speaking to him and for evading him, given that this happens despite my will? Guide me in light of this, and is this considered Uquq (undutifulness/disobedience to parents)?

Answer:

It is well-known that parents have rights and children have rights; parents have a right over their sons and daughters, and children have a right over their fathers and mothers. However, the right of parents is greater—the right of parents over children is greater than the right of children over parents.

Therefore, I advise you first to be patient with the harm, oppression, and injustice you experience from your father, and I hope that you will receive a great reward from Allah the Almighty for this patience and good treatment. Do not sever ties with him if this behavior occurs from him; rather, reach out to him and draw closer to him, and you will be the winner.

As for the father, I advise him to be a helper to his children—both sons and daughters—in enabling them to honor him, to be gentle with them, and to treat them kindly. He should know that tyranny, inequity, and injustice toward daughters are acts of the Jahiliyyah (the pre-Islamic period of ignorance). Indeed, the people of Jahiliyyah were the ones who disliked female children and resented their existence, to the extent that when one of them was given the glad tidings of a girl, his face would darken, and he would suppress his grief (cf. Qur’an, Surah An-Nahl 16:58). He would hide from the people because of the bad news he was given, debating whether he should keep her in humiliation or bury her in the dust. Verily, evil is what they judge.

In Jahiliyyah, out of their aversion to females, when a baby girl was born to a person, he would go and dig a grave for her and bury her alive, na’udhubillah (we seek refuge in Allah). It is even mentioned that some of them would let the daughter grow until she reached the age of discernment or near it, then take her out to the wilderness and dig a hole for her. As some dust got onto his beard, she would gently brush it away to clean it of dirt while he was digging the hole to bury her—na’udhubillah—and then he would bury her. Some of them would have their daughters crying out for help, pleading with them as they were thrown into the pit: “O father! O father!”—yet he would show no mercy, but trample her down instead, na’udhubillah. These hearts are harder than the hearts of wolves. Therefore, anyone who dislikes women and treats them badly bears a resemblance to the people of Jahiliyyah.

My advice to this father is to fear Allah the Almighty regarding the female children He has blessed him with, and to know that if he is patient with them and disciplines them properly, they will be a shield for him against the Fire. Regarding what has come down in the Fiqh of the Sunnah from the Prophet, peace and be upon him, let him be gentle with them so that Allah may be gentle with him when he meets Him on the Day of Resurrection.

See also:

Condemning the Pre-Islamic Mindset Regarding the Birth of Girls

Scholars

1448-04-14 () \ 2026-09-25

Fatawa Nur 'ala al-Darb, Tape No. 314, Question 14"
Shaykh ibn uthaymeen,Struggling with Smoking and Repentance: What Should I Do?,https://alsalafiyyah.github.io/audios/struggling-with-smoking-and-repentance-what-should-i-do/,"Question:

I am a young man who prays all prayers, but I smoke. After smoking, I repent, then I return to it, then I repent, and then I return to it multiple times. However, I fear the punishment of Allah, so what should I do? May Allah reward you with goodness, and I hope you will pray for me to quit it and to become among the righteous and reformative people.

Answer:

I ask Allah to help him quit it, and to make us and him among the righteous.

I say: Strive to be strong against yourself, and stay away from those who smoke, because being close to them causes you to crave it and smoke it. So, stay away from them, burn whatever cigarettes you have, and ask Allah, the Mighty and Majestic, for steadfastness and protection from it.

Whenever your soul prompts you to smoke it, drink juice instead to alleviate the craving. Or, if you fear that your soul will persistently pressure you, go out and sit with one of the righteous men to spend time with him and benefit from him. The righteous companion is like the bearer of musk: either he will sell it to you, or he will give it to you as a gift, or you will experience a pleasant fragrance from him.

Scholars

1448-04-14 () \ 2026-09-25

Liqa' al-Shahri, Tape 5, Question 17"
Shaykh ibn uthaymeen,Ruling on a Muslim Woman Visiting Her Non-Muslim Family,https://alsalafiyyah.github.io/audios/ruling-on-a-muslim-woman-visiting-her-non-muslim-family/,"Question:

Also, among the listener’s questions, she asks: Is a Muslim woman’s visit to her disbelievers’ family considered allegiance to those who oppose Allah and His Messenger? And is the father considered a stranger (non-Mahram) before whom she must not uncover/reveal her adornments?

Answer:

Maintaining ties of kinship is not considered allegiance. Rather, allegiance is one thing, and maintaining ties of kinship is something else entirely. For this reason, Allah the Almighty combined the command to maintain ties with the prohibition of taking [disbelievers] as allies in the same Surah. He stated in Surah Al-Mumtahanah:

“O you who believe! Take not My enemies and your enemies (i.e. disbelievers and polytheists, etc.) as friends, showing affection towards them,…” (Al-Mumtahanah: 1)

“O you who believe! Take not My enemies and your enemies (i.e. disbelievers and polytheists, etc.) as friends, showing affection towards them,…”

And He stated in the same Surah:

“Allah does not forbid you to deal justly and kindly with those who fought not against you on account of religion and did not drive you out of your homes.” (Al-Mumtahanah: 8)

“Allah does not forbid you to deal justly and kindly with those who fought not against you on account of religion and did not drive you out of your homes.”

Thus, keeping ties of kinship is a matter distinct from allegiance. Accordingly, a person must maintain ties with their relatives, even if they are disbelievers, but without showing allegiance, support, or backing for the state of disbelief they are upon.

Likewise, it is permissible to invite them to one’s home, for example; however, alongside that, one should be keen to present Islam to them, advise them, and guide them, so that perhaps Allah may guide them through him.

Scholars

1448-04-14 () \ 2026-09-25

Fatawa Nur ala al-Darb, Tape 199, Question 6"
Shaykh ibn uthaymeen,How to Treat Non-Muslim Parents and Kin After Embracing Islam,https://alsalafiyyah.github.io/audios/how-to-treat-non-muslim-parents-and-kin-after-embracing-islam/,"Question:

May Allah bless you. The female questioner symbolized her name with M. S., saying: Allah, the Almighty and Majestic, honored me and some of my siblings with entering the religion of Islam. My question is: What are the rights of non-Muslim parents upon their Muslim children, as well as the rights of siblings and relatives in terms of visits, financial maintenance, and keeping ties of kinship? When is financial maintenance obligatory and when is it recommended? May Allah bless you.

Answer:

The duty of a Muslim child toward their parents is to treat them with righteousness and kindness in matters concerning worldly life. This is based on the statement of Allah, the Blessed and Exalted:

“And We have enjoined on man (to be dutiful and good) to his parents. His mother bore him in weakness and hardship upon weakness and hardship, and his weaning is in two years give thanks to Me and to your parents, unto Me is the final destination. But if they (both) strive with you to make you join in worship with Me others that of which you have no knowledge, then obey them not, but behave with them in the world kindly,…” (Luqman: 14-15)

“And We have enjoined on man (to be dutiful and good) to his parents. His mother bore him in weakness and hardship upon weakness and hardship, and his weaning is in two years give thanks to Me and to your parents, unto Me is the final destination. But if they (both) strive with you to make you join in worship with Me others that of which you have no knowledge, then obey them not, but behave with them in the world kindly,…”

Thus, Allah, the Exalted, commanded us to accompany non-Muslim parents in this world with kindness. We are to provide for them financially, clothe them, and give them gifts, while simultaneously inviting them to Islam, so that perhaps Allah may place Islam in their hearts and they embrace it.

Similarly, regarding relatives who are not Muslims, He stated that they have a bond of kinship that must be maintained. Therefore, ties must be kept with them, and this relative who is kept in contact should be invited to Islam, so that perhaps Allah may open their heart to guidance.

Scholars

1448-04-14 () \ 2026-09-25

Fatawa Nur ala al-Darb, Tape 271, Question 3"
Shaykh ibn uthaymeen,Forcing a Son to Marry: Ruling on Parental Pressure and Marriage Choice,https://alsalafiyyah.github.io/audios/forcing-a-son-to-marry-ruling-on-parental-pressure-and-marriage-choice/,"Question:

A listener from Jazan says that he wishes to marry a woman he has chosen for himself, but his father disagrees and wants him to marry a relative of theirs, knowing that she does not pray. What should I do? Guide me and advise me, and may you be rewarded.

Answer:

Praise be to Allah, Lord of the Worlds, and peace and blessings be upon our Prophet Muhammad, his family, his companions, and those who follow them in righteousness until the Day of Judgment.

Our answer and guidance to the questioner is first to state: It is not permissible for a father to prevent his son from marrying a woman he is pleased with for himself, nor to force him to marry a woman he does not want simply because she is a relative of the father. This is because these matters pertain to a person’s private life, which is a matter of personal choice where one controls his own affairs. Therefore, it is not permissible to force him into something he does not want, nor to prevent him from what he desires. This is regarding the father of the questioner, and I direct advice to him to let his son marry whoever he wishes.

As for the son: He is not obligated to obey his father in this situation—meaning, he is not obligated to obey his father by marrying a woman he does not want and leaving the woman he desires. He has the right to marry the woman he wants, even if his father dislikes it, provided that this woman does not have a flaw in her religion or character.

Especially since the questioner mentions that the woman his father wants him to marry does not pray: A woman who does not pray is not permissible for any Muslim man to marry until she returns to Islam, because whoever leaves the prayer is a disbeliever with a disbelief that expels them from the fold of Islam. Just as it is not permissible to give a woman in marriage to a man who does not pray, it is likewise not permissible for a person to marry a woman who does not pray.

It is not permissible for a father to force his son to marry a woman he does not want, nor to prevent him from marrying a woman he desires if she possesses good character and religion. The son is not obligated to obey his father in this matter, and he has the right to marry whomever he desires. This is not considered Uquq (undutifulness) toward his father.

Scholars

1448-04-14 () \ 2026-09-25

Fatawa Nur ala al-Darb Tape No. 218, Question 1"
Shaykh ibn uthaymeen,Ruling on Using the Term 'Mutaslim' for Muslims and Preachers,https://alsalafiyyah.github.io/audios/ruling-on-using-the-term-mutaslim-for-muslims-and-preachers/,"Question:

Is it permissible to use the term “Mutaslim” (pseudo-Muslim / one who pretends to be a Muslim) for a Muslim, and specifically for du’at (callers to Islam)?

Answer:

Look here, my brother! It seems to me from this question and the previous one that this phenomenon exists in your country.

The Questioner:

It is very common, O Sheikh!

The Sheikh:

We do not have that here; with us, there is a Muslim, not a “Mutaslim.” But do not be surprised, do not be surprised, do not be surprised. Were the hypocrites not the ones who would say to the believers when they gave generously in charity: “This person is showing off,” and when they gave a little: “Allah is in no need of your charity”? They accused the Muslims of hypocrisy and other things. Do not be surprised; the enemy is an enemy who wants to alienate people by any means. It is not permissible to accuse Muslims and say “Mutaslim”—meaning that they are Muslims in appearance only—for this is forbidden.

Scholars

1448-04-10 () \ 2026-09-21

Liqa' al-Bab al-Maftuh, Tape 235, Question 18"
Shaykh ibn uthaymeen,Ruling on the Children's Chant: 'My Mother's Smile is the Secret of My Existence',https://alsalafiyyah.github.io/audios/ruling-on-the-childrens-chant-my-mothers-smile-is-the-secret-of-my-existence/,"Question:

There are children’s nasheeds (chants) that go: “My mother’s smile is the secret of my existence” … What is your view on this?

Answer:

This is a falsehood, and it is not permissible for a person to say it. No one possesses the attribute of bringing [others] into existence. This is a rejected, Sufi-inspired statement. The One who brought creation into existence is Allah.

What is astonishing is that the person says: “My mother’s smile is the secret of my existence,” meaning: she is the one through whom I came into being. This is undoubtedly a falsehood. While in his mother’s womb, a person does not see his mother’s smile, nor does he know anything about it. Therefore, this statement must be rejected and condemned.

Scholars

1448-04-10 () \ 2026-09-21

Liqa' al-bab al-Maftuh, Tape 140, Question 4"
Shaykh ibn uthaymeen,Ruling on Calling Makkah 'The Land of the Heavenly Religions',https://alsalafiyyah.github.io/audios/ruling-on-calling-makkah-the-land-of-the-heavenly-religions/,"Question:

May Allah reward you with good, O Your Eminence Sheikh. Some people refer to Makkah Al-Mukarramah as “the land of the heavenly religions.” Is this expression correct?

Answer:

This is a false expression, because the prophets of the Children of Israel—among whom are Musa (Moses) and ‘Isa (Jesus)—were actually in “the Levant region” (Al-Sha’b/Al-Sham), not in Makkah. However, Makkah is the land of the dispatch of the Prophet, may Allah’s peace and blessings be upon him and his family, and Madinah is the place of his migration, where the Islamic state was established, the banner of jihad was raised, and the Islamic religion was consolidated.

Thus, Makkah is the starting point of the mission, and Madinah is the culmination of the mission—meaning the culmination of the religion with which the Prophet, may Allah’s peace and blessings be upon him and his family, was sent in Makkah. Yes.

Scholars

1448-04-10 () \ 2026-09-21

Fatawa Nur ala al-Darb, Tape 336, Question 2"
Shaykh ibn uthaymeen,Ruling on Calling a Woman 'Mother of the Believers' and Nicknaming Someone 'Noah',https://alsalafiyyah.github.io/audios/ruling-on-calling-a-woman-mother-of-the-believers-and-nicknaming-someone-noah/,"Question:

My father has an old friend, and my father calls his friend’s wife “Mother of the Believers” because her name matches one of the Mothers of the Believers. He also calls one of his old friends “Noah.” Is he permitted to do this?

Answer:

As for the first matter—calling a woman “Mother of the Believers”—this is forbidden because it is a falsehood. She is not a mother of the believers; the Mothers of the Believers are exclusively the wives of the Messenger, Muhammad, may Allah’s peace and blessings be upon him.

Furthermore, the one who says this word is uttering a falsehood, wanting to attach this woman to the wives of the most noble of creation, the Prophet Muhammad, while she is undoubtedly the wife of a person who does not equal the Messenger of Allah, may Allah’s peace and blessings be upon him, in status.

As for the second matter—naming a man “Noah”—there is no harm in a man being named Noah, Ismail, Isaac, Jacob, Hood, or any other name of the prophets. There is no harm in assigning such a name to a person as a given name.

However, if it is used as a nickname/byname while his real name is something else, then this requires consideration: we might say it is prohibited because it is a falsehood, or we might say it is permissible out of a sense of honoring [him], given that this man has a large family, making him resemble Noah in the abundance of his children—because Noah, upon him be peace and blessings, is the second father of humanity, as Allah the Almighty said: “And, his progeny, them We made the survivors (i.e. Shem, Ham and Japheth).” [As-Saffat: 77]

“And, his progeny, them We made the survivors (i.e. Shem, Ham and Japheth).”

Scholars

1448-04-10 () \ 2026-09-21

Fatawa Nur ala al-Darb, Tape 226, Question 10"
Shaykh ibn uthaymeen,Is it Permissible to Call a Dead Person 'Al-Marhoom'?,https://alsalafiyyah.github.io/audios/is-it-permissible-to-call-a-dead-person-al-marhoom/,"Question:

The questioner has another question, Your Eminence the Sheikh: Is it permissible to use the word “Al-Marhoom” for the dead—for example, to say: “Al-Marhoom so-and-so”? Please advise us and may you be rewarded.

Answer:

If someone says, while speaking about a dead person: “Al-Marhoom” (the deceased or the one who has been shown mercy.) or “Al-Mghfoor lahu” (the forgiven), or something similar, and uses it as a statement of fact (as a report), then that is not permissible. This is because he does not know whether mercy has been attained for the person or not, and a matter of the unknown is not permissible for a person to assert with certainty. Furthermore, this constitutes testifying to his mercy or forgiveness without knowledge, and testifying without knowledge is forbidden.

However, if one says that by way of supplication (du’a) and hope that Allah Almighty will forgive him and have mercy upon him, then there is nothing wrong with it, and no harm in it. There is no difference between saying “Al-Marhoom” or “So-and-so—may Allah have mercy on him,” because both expressions are suitable for use as a report or as a supplication; it depends on the intention of the speaker.

There is no doubt that those who say “So-and-so is marhoom” or “So-and-so is maghfoor lahu” do not intend by this to state a fact and testify that the person has definitely received mercy and forgiveness. Rather, they intend by it hope, optimism, and supplication. Therefore, there is no harm or blame in using this word.

Scholars

1448-04-10 () \ 2026-09-21

Fatawa Nur ala al-Darb, Tape 263, Question 11"
