Scholar,Title,Summary
Shaykh ibn uthaymeen,The Echoes of Jahiliyyah: A Warning Against Mistreating Daughters,"As for the father, I advise him to be a helper to his children—both sons and daughters—in enabling them to honor him, to be gentle with t..."
Shaykh ibn uthaymeen,Struggling with Smoking and Repentance: What Should I Do?,"Whenever your soul prompts you to smoke it, drink juice instead to alleviate the craving. Or, if you fear that your soul will persistentl..."
Shaykh ibn uthaymeen,Ruling on a Muslim Woman Visiting Her Non-Muslim Family,"Maintaining ties of kinship is not considered allegiance. Rather, allegiance is one thing, and maintaining ties of kinship is something e..."
Shaykh ibn uthaymeen,How to Treat Non-Muslim Parents and Kin After Embracing Islam,The duty of a Muslim child toward their parents is to treat them with righteousness and kindness in matters concerning worldly life.
Shaykh ibn uthaymeen,Forcing a Son to Marry: Ruling on Parental Pressure and Marriage Choice,"It is not permissible for a father to force his son to marry a woman he does not want, nor to prevent him from marrying a woman he desire..."
Shaykh ibn uthaymeen,Ruling on Using the Term 'Mutaslim' for Muslims and Preachers,"We do not have that here; with us, there is a Muslim, not a Mutaslim. But do not be surprised, do not be surprised, do not be surprised."
Shaykh ibn uthaymeen,Ruling on the Children's Chant: 'My Mother's Smile is the Secret of My Existence',"This is a rejected, Sufi-inspired statement. The One who brought creation into existence is Allah."
Shaykh ibn uthaymeen,Ruling on Calling Makkah 'The Land of the Heavenly Religions',"This is a false expression, because the prophets of the Children of Israel—among whom are Moses and Jesus—were actually in the Levant reg..."
Shaykh ibn uthaymeen,Ruling on Calling a Woman 'Mother of the Believers' and Nicknaming Someone 'Noah',As for the first matter—calling a woman 'Mother of the Believers'—this is forbidden because it is a falsehood.
Shaykh ibn uthaymeen,Is it Permissible to Call a Dead Person 'Al-Marhoom'?,"This constitutes testifying to his mercy or forgiveness without knowledge, and testifying without knowledge is forbidden."
Shaykh ibn baz,What is Meant by Hijrah?,The migration from the lands of shirk (polytheism) to the lands of Islam.
Shaykh ibn baz,Ruling on Traveling for Tourism to Non-Muslim Lands,It is a munkar (reprehensible evil) and is not permissible. It is absolutely not permissible to travel for tourism.
Shaykh ibn baz,Ruling on Claiming Disbelievers Are Better Than Muslims,The statement made by some people that the disbeliever is better than the Muslim or that Christians are better than Muslims is apostasy f...
Shaykh ibn baz,Refuting Those Who Say That the Hijab Is Not the Covering of the Face,"Therefore, just as it is obligatory to cover the head, it is also obligatory to cover the face, because the face holds immense significance."
Shaykh ibn baz,Refuting the Western Suspicion Regarding the Hijab,"This is a refuted suspicion with no basis whatsoever. This is a refuted suspicion: if the hijab is obligatory among Muslims, then its obl..."
Shaykh ibn baz,Biography of Sheikh Ihsan Ilahi Zahir and Fatwa on the Funeral Prayer for Him,"He has many authored works in refuting the Shia, refuting paganism, and refuting other sects of disbelief and misguidance."
Shaykh ibn baz,Is Kissing the Black Stone a Form of Paganism?,"This is not paganism; this is something prescribed for us by Allah for a profound wisdom, and in this, we are neither imitating the Jahil..."
Shaykh ibn baz,Did Islam Spread by the Sword?,"This statement, in an absolute and unqualified sense, is false. Islam was spread through the call to Allah, the Glorified and Exalted, an..."
Shaykh salih ibn fawzan,The Ruling on Saying 'Madad' to Husayn or Al-Badawi,"If he is ignorant, it is explained to him. If he persists in that after the explanation, then he is a disbeliever."
Shaykh salih ibn fawzan,The Ruling on Breeding and Selling Wild Animals,"What is his intention behind this? If he sells predators or sells snakes, this is forbidden and not permissible."
